Authority,2016/2017,2015/2016
Aberdeen City,41,20
Aberdeenshire,9,11
Angus,13,6
Argyll & Bute,5,9
Clackmannanshire,6,9
Dumfries & Galloway,10,16
Dundee,48,54
East Ayrshire,32,23
East Dunbartonshire,5,9
East Lothian,5,5
East Renfrewshire,5,7
"Edinburgh, City of",51,34
Falkirk,10,16
Fife,53,59
Glasgow,119,92
Highland,36,35
Inverclyde,7,9
Midlothian,8,5
Moray,15,12
North Ayrshire,12,13
North Lanarkshire,22,21
Perth & Kinross,25,17
Renfrewshire,24,18
Scottish Borders,13,15
Shetland,5,5
South Ayrshire,16,6
South Lanarkshire,41,26
Stirling,6,9
West Dunbartonshire,20,5
West Lothian,32,32
Scotland,687,595
